sensitivity,intelligence,dedication,dynamism,tyranny,masculinity,dominant_dimension,confidence_sensitivity,confidence_intelligence,confidence_dedication,confidence_dynamism,negative_evidence,falsifying_evidence,rival_explanation,evidence_quotes,memo,transcript_id,framework,framework_name,guest_name,gender,n_passages_seen
illustrated,illustrated,mentioned,central,absent,absent,dynamism,0.65,0.7,0.55,0.85,No evidence for tyranny or masculinity dimensions. Dedication is referenced through persistence across ventures but not developed as a self-characterization. Sensitivity appears in communication concerns but is framed as organizational challenge rather than personal attribute.,"P5 shows receptivity to market feedback ('no one cared') rather than pushing through with conviction, which could contradict pure dynamism. P9's advice to 'partner with someone' suggests collaborative rather than individually dynamic approach.","These passages read as entrepreneurial origin story—a genre convention in startup interviews. The journey narrative (P1), pivot points (P2-P4), and lessons learned (P5, P9) follow standard founder interview templates rather than necessarily revealing identity work.","I think everyone has a journey. Everyone does have little points in their journey and where they end up is always connected to those dots that they took on that path || Halfway through I started construction company and I started building homes and that was great || we started, this is 2016 || We took it to market and no one cared || as we grew from five people to 10 people to 20 to 80 || I think the biggest challenge we faced is as we grew || The people that I talk to in the office, the people that are next to me, they see the same thing || My advice is to always partner with someone that has already done this","Speaker constructs self through serial entrepreneurship and pivoting—starting construction company, real estate team, then tech product. Dynamism dominates: multiple ventures, market repositioning (P7), growth narrative (P6). Intelligence shown through market learning (P5) and ecosystem analysis (P8). Sensitivity emerges in communication challenges (P6) but framed as organizational problem, not personal strength. The rhetoric is 'builder who learns' rather than 'leader who inspires.' Journey metaphor (P1) frames ventures as connected path rather than leadership identity. Advice-giving (P9) positions speaker as experienced but collaborative, not commanding.",IFM-022,C,Epitropaki_Martin_2004,Mehboud,Male,9
absent,illustrated,mentioned,absent,absent,absent,intelligence,0.85,0.9,0.75,0.8,"No evidence for sensitivity (interpersonal awareness), dynamism (charisma, energy), tyranny, or masculinity. Dedication is referenced obliquely through work history but not developed as self-presentation.",P9 admits to being 'too product focused' and wanting 'more creative thinking'—a self-critique that undercuts intelligence as organizing principle. P5's dismissive tone about Canadian VC suggests resignation rather than strategic insight.,"These passages read as industry commentary and technical credentialing rather than identity work. The speaker positions themselves as experienced observer (P4, P6) and technical gatekeeper (P7), but this could be interview convention—establishing expertise to legitimate subsequent claims.","I have PhD friends who are experts in augmented reality and a couple other people I know who are experts in VR. || I'm old enough that I remember the beginnings of mobile computing, going back to the Newton, Penpoint, and I worked on some of those mobile platforms that all failed in the 90s. || The technical founder can write code or participate at the most intimate level to ensure progress on a technical level I fit that bill || I am very, I sometimes a little bit too product focused, and I'd love to see a little bit more creative thinking.","Speaker establishes intelligence through historical perspective (P4, P6), technical credibility (P7), and network positioning (P1). The rhetoric is diagnostic—analyzing market readiness, technological cycles, business models. However, this could be interview performance rather than identity construction. The self-critique in P9 ('too product focused') suggests reflective capacity but also undermines the intelligence prototype. Dedication appears through longevity (P4, P8) but isn't thematized. No interpersonal, charismatic, or relational dimensions emerge. The speaker wants to be seen as technically competent and historically informed, possibly world-weary.",IFM-023,C,Epitropaki_Martin_2004,Dan ,Male,9
central,illustrated,illustrated,mentioned,absent,absent,sensitivity,0.85,0.7,0.75,0.5,tyranny and masculinity are not invoked; dynamism is weakly present through event participation but not developed as a personal quality,"The speaker systematically deflects credit to co-founders (P2, P6, P12) and emphasizes collaborative rather than directive action. This contradicts dynamism as individual drive and undercuts any claim to singular leadership.",This could be strategic positioning for a B2B education technology company where relationship-building and consultative selling are business requirements rather than identity claims. The humility may be professional convention.,"It's definitely not something I can take all the credit for. We have an amazing team behind || I do have to give a lot of that credit to one of my other co-founders, Nicole McLean, who is a natural relationship builder that way. || I personally am constantly running onboarding sessions and, I'm in meetings where people are asking, how can this be used? || We've had a very high touch relationship with our early champions to make sure that they were supported throughout || we continually look for feedback and ask for insights from these institutions who we are building the technology with, truly with","The speaker constructs themselves as a facilitative, credit-deflecting collaborator. Sensitivity dominates through repeated emphasis on listening, supporting, understanding client needs, and maintaining relationships. Intelligence appears through strategic problem-solving (P8, P11) but is understated. Dedication shows in sustained contact work (P7, P9). The rhetoric is consistently other-focused: crediting co-founders by name, emphasizing genuine community engagement over promotion, and highlighting limitations alongside benefits. This is anti-heroic leadership presentation—competence through service rather than vision or command.",IFM-024,C,Epitropaki_Martin_2004,Imran Muna ,Male,12
illustrated,central,central,illustrated,absent,absent,intelligence,0.65,0.85,0.9,0.7,Tyranny and masculinity receive no treatment. Sensitivity appears primarily through seeking mentorship rather than attending to others' needs. The passages focus heavily on personal achievement and problem-solving rather than interpersonal attunement.,"The speaker describes persistent contact attempts that were initially ignored (P7: 'I would send him emails. I would send him LinkedIn. He wouldn't respond') which could read as boundary-crossing rather than dedication. The narrative is entirely self-focused with no discussion of team dynamics, follower needs, or collaborative leadership.","This reads as classic entrepreneurial origin story: problem identification, educational credentials, mentor validation, bootstrap success metrics. The structure follows pitch deck logic (problem-solution-traction) rather than leadership identity construction. Could be rehearsed investor narrative.","I like to solve business problems and I was so interested in businesses and how they grow, how they succeed || I had to look at markets, I had to look at revenue, I had to look at all the factors that make up a business model canvas || I was able to grow that company from zero dollar and 300% increase every year","Speaker constructs identity through analytical problem-solving and systematic business thinking (business model canvas, forecasting, market analysis). Intelligence is demonstrated through educational credentials and methodical approach. Dedication appears through persistence with mentors and working while studying. The rhetoric emphasizes cognitive mastery and strategic planning rather than interpersonal leadership. Notably absent: any discussion of leading others, team building, or follower relationships. This is entrepreneur-as-analyst, not entrepreneur-as-leader. The 'living the dream' frame (P4) suggests aspiration fulfilled through individual capability rather than collective achievement.",IFM-025,C,Epitropaki_Martin_2004,AKA,Male,12
illustrated,illustrated,mentioned,illustrated,absent,absent,intelligence,0.65,0.75,0.45,0.7,Dedication receives minimal development. Tyranny and masculinity are completely absent. The passages focus on problem-solving and cultural bridging rather than sustained effort narratives or dominance displays.,"P8 explicitly solicits others' ideas ('I would love to hear what people think or suggest'), which contradicts a self-sufficient intelligence prototype. The speaker positions themselves as seeking input rather than providing definitive solutions.",These passages read as company origin story and market positioning. The speaker may be establishing organizational credibility and international reach rather than personal leadership identity. Cultural observations serve business narrative.,"I recall when I came to Canada, 55 years ago, that was a long time ago. A rental apartment is like 2000 square feet. And they were talking about livability. Today, a rental apartment is like 300 square feet. || I was in Saudi Arabia back about 15 years ago and I was meeting with a one of our partner there, one of the prints with, you know, six general managers in the boardroom || Our international department, our advisors at Sproul Shaw speaks about 30 different languages. And at least one third of them came from our student pool. || I would love to hear what people think or suggest. How could Vancouver create like how could we one or three or five solutions can reduce that housing crisis?","The speaker constructs themselves as a cultural translator and pattern-recognizer across markets. Intelligence emerges through comparative observations (housing density norms, international education patterns) and network positioning (Saudi meeting, Asian investments). Sensitivity appears in recognizing student housing needs and valuing multilingual staff. Dynamism shows in geographic range and capital mobilization. However, P8's solicitation of others' solutions introduces ambiguity—is this collaborative intelligence or genuine uncertainty? The rhetoric serves dual purposes: establishing organizational sophistication while maintaining a consultative rather than authoritative stance. The 55-year immigration narrative provides experiential authority without explicit self-aggrandizement.",IFM-026,C,Epitropaki_Martin_2004,Toby Chu ,Male,8
central,illustrated,central,mentioned,absent,absent,sensitivity,0.85,0.7,0.9,0.6,Tyranny and masculinity receive no support. Dynamism is present but underdeveloped—the speaker mentions being 'entrepreneurial' but does not elaborate with concrete episodes of driving change or energizing others.,"The speaker explicitly rejects corporate decision-making norms ('difficult decisions that most corporations would make'), positioning themselves against a prototype of decisive, potentially ruthless leadership. The emphasis on collective process ('working with my board and working with our nation') contradicts individualistic dynamism.","These passages may reflect organizational values statements and cultural positioning rather than personal identity work. The speaker consistently invokes 'we' and collective principles, which could be institutional rhetoric.","I should act and speak correctly in good spirits || It's about the people. We have really good people and I want to make sure that I do everything in my power || the people I have that work with me, I'm so proud of them and I'm so thankful for what they do every day || We'll never compromise those values, principles, the laws, the integrity that guide our integrity || this is really in practice what our ancestors have been doing for thousands of years and we're just reviving, reemerging again","The speaker constructs identity through cultural accountability and relational care rather than individual achievement. Sensitivity dominates: protecting employees, honoring ancestral principles, maintaining integrity over expedience. Intelligence appears through systems thinking about ecological economics and intergenerational stewardship. Dedication is pervasive—commitment to people, values, and community persists 'despite challenges.' The rhetoric is collective ('we') and principle-anchored, positioning leadership as cultural stewardship rather than entrepreneurial dynamism. This may be Indigenous leadership discourse rather than Western prototype invocation.",IFM-027,C,Epitropaki_Martin_2004,Garry Wilson,Male,10
illustrated,mentioned,illustrated,mentioned,absent,absent,sensitivity,0.75,0.65,0.7,0.5,tyranny and masculinity receive no support; dynamism is weakly evidenced through adaptability claims but not developed through concrete action,P8 explicitly disclaims capability ('we aren't great at that'); P9 shows indecision ('I'm really torn'); these contradict dynamism and decisiveness,This could be brand narrative rather than self-presentation—speaker describes company philosophy and product positioning more than personal leadership identity. The 'we' throughout may reflect organizational voice.,"I moved around a lot as a kid and went to a different school every year until grade eight, which pushed me into marketing at a young age || you have to experience all these different cultures and different people and be adaptable to different situations || I've been there for 18 years || we do a lot of things that are not the traditional way of running business || the cultural relevance, according to us, is very, very important || I'm really torn on it || we aren't great at that","Speaker constructs identity through sensitivity to cultural difference and adaptability, rooted in childhood mobility. The 18-year tenure signals dedication. However, most passages describe brand philosophy ('cultural relevance,' unconventional approaches) rather than personal leadership. Self-deprecating admissions ('we aren't great,' 'I'm really torn,' 'we just have a history of ruining things') undercut dynamism. The rhetorical work is primarily explaining brand positioning and acknowledging limitations—more reflective practitioner than decisive leader. Intelligence appears through marketing sophistication but isn't foregrounded.",IFM-028,C,Epitropaki_Martin_2004,Steven Fluevog,Male,10
illustrated,illustrated,mentioned,illustrated,absent,absent,intelligence,0.75,0.85,0.6,0.7,Tyranny and masculinity receive no support. Dedication is implied through career progression but not explicitly claimed or illustrated through sacrifice narratives.,"The speaker consistently frames decisions as collective ('we made sure,' 'what we did') rather than individual directive action. No claims to visionary insight or decisive command. The market assessment is presented as learning-oriented rather than as demonstrating superior judgment.",These passages primarily narrate company strategy development and product-market fit methodology. The speaker describes technical and commercial processes rather than explicitly constructing a leadership identity. This could be standard startup retrospective rather than identity work.,"from there grew to be the technical lead in the company as the director of preclinical || we made sure that we did over 60 hours of market assessment to large pharmaceutical companies || what we actually did is we created a small survey that was really meant to be a 15 minute call with all these people to find out what's their experience || we made sure that the biggest players in the field told us exactly how they wanted to use it || I spend a huge amount of time always going to conferences, having conversations within networks and finding out what do you need to see || doing the market assessment and traveling around actually changed our entire sales strategy","The speaker constructs competence through systematic methodology: extensive market research (60+ hours), structured feedback loops, iterative refinement. Intelligence is demonstrated through learning orientation—recognizing initial approach was 'too simplistic,' adapting based on customer input. Sensitivity appears in the consultative stance: 'what do you need to see?' rather than 'here's what we built.' Dynamism shows in conference attendance and network cultivation. Notably absent: heroic decision-making, visionary claims, or personal credit-taking. The rhetoric is collaborative ('we') and evidence-based, positioning the speaker as methodical and responsive rather than commanding or charismatic.",IFM-029,C,Epitropaki_Martin_2004,Kevin Voss,Male,10
central,illustrated,illustrated,mentioned,absent,absent,sensitivity,0.85,0.75,0.7,0.6,Tyranny and masculinity receive no support. Dynamism is implied through business transformation but not foregrounded as identity. The passages focus heavily on relational attunement rather than drive or energy.,"P13 ('put on your big boy pants') could signal masculinity, but speaker frames it as client-directed advice, not self-description. P5's directness ('I'm going to ask you to make a decision') could read as tyrannical, but speaker immediately softens it as mutual discovery. The dominant sensitivity frame absorbs these moments rather than being contradicted by them.","These passages teach consulting methodology. The speaker performs expertise by narrating client interactions. What reads as sensitivity may be professional technique—reading body language, managing proposals—rather than identity claim. The 'authentic' framing in P10 could be strategic differentiation.","we're highly sensitive, emotional creatures. And if we pay attention to that, we actually pick up on it || I believe in being authentic and upfront with clients, it's a matter of checking and saying is there value || at a heart level, I really did care and I really was trying to make a difference || I'm watching to see how they feel || It's the money second, first is the help. It's the motivation to help make them better || You're better than you think you are || I often end up doing is I call it putting air in people's tires","Speaker constructs identity around emotional attunement and client welfare. Sensitivity is not incidental but methodological—watching body language (P4), assessing coachability (P11-12), prioritizing help over fees (P14). Intelligence appears through frameworks and diagnostic skill (P1, P3). Dedication shows in 30-year growth narrative (P15-16). The 'authentic' and 'caring' self-presentation is rhetorically thick, possibly performing the consultant persona clients expect. Sensitivity organizes the entire self-account; other dimensions support it. The speaker wants to be seen as perceptive, ethical, and relationally skilled—anti-transactional.",IFM-030,C,Epitropaki_Martin_2004,Rolph,Male,21
absent,illustrated,illustrated,central,absent,absent,dynamism,0.85,0.75,0.8,0.9,"Sensitivity is entirely absent—no discussion of interpersonal awareness, team dynamics, or consideration of others' feelings. Tyranny and masculinity show no evidence either way.","The speaker describes unilateral decision-making ('I bought,' 'I brought,' 'I established') without collaborative language. The framing of brothers' contributions as cost-saving ('lots of a smile lots of respect' instead of 'million dollar') could suggest instrumental rather than relational orientation. Parents are positioned as obstacles to be managed ('just to satisfy my parents') rather than stakeholders to engage.",This reads as entrepreneurial origin story—explaining business portfolio growth and family dynamics. The 'ground up approach' and 'end-to-end solution' language suggests pitch deck rhetoric rather than identity construction. Could be rehearsed investor narrative.,"I bought that pharmacy. I have a pharmacy partner. Then I brought general manager to run the entire retail show. I established the KPI. Then I start buying other pharmacies, increase the valuation, and then sell the pharmacy. || please pray for me so I can create more jobs than stability. I can take some risk that instability side, but let me create more jobs. || my brothers was there so we want to understand the industry first approach is should be the ground up approach instead of top down approach i bought the business increase the sales understand all the stakeholders || it gave me great, like 360 degree angle to see all the problems. not enough solution in the market when anybody come up with a solution that solution is only focused part of the problem not the entire problem || if i don't have this brilliant brother then i might have to pay over million dollar just to build the the prototype instead of what i paid lots of a smile lots of respect","Speaker constructs identity through serial entrepreneurship and pattern recognition across industries. Dynamism dominates: buying businesses, scaling operations, identifying market gaps. Intelligence shown through systems thinking ('360 degree angle,' 'end-to-end solution') and strategic learning ('ground up approach'). Dedication illustrated via defying parental expectations and risk-taking for job creation. Family relationships framed transactionally (brothers as cost-saving resources). No interpersonal sensitivity or collaborative framing—presents as solo operator who deploys others. Wants to be seen as visionary builder who sees whole systems others miss.",IFM-031,C,Epitropaki_Martin_2004,Tanvir Asan,Male,11
central,illustrated,illustrated,mentioned,absent,absent,sensitivity,0.85,0.75,0.7,0.5,Tyranny and masculinity are not invoked. Dynamism is weakly supported—the speaker describes persistence with government but not decisive action or energy as self-defining traits.,"The speaker positions themselves as responsive and accommodating (Nathan story, discount offer to government) rather than driving or commanding. This could contradict dynamism if that dimension requires forcefulness.","These passages serve multiple functions: origin story (mother banker), product pitch (financial IQ platform), customer testimonials (Nathan, Montreal entrepreneur). The sensitivity framing may be strategic positioning for a fintech serving vulnerable populations rather than core identity work.","my mother was a banker. And to clarify, women at that time, you think about it, weren't allowed to have a credit card till 1976. So my mom was a head teller. She couldn't be in management, but we always had our own home and single parent raising five kids. || Nathan, a condition of the rental is that you have to be a rented 123 member, which is $10 a month and we're gonna grow your credit score by reporting your rent and there was silence Nathan was crying || Let's make the Canadian renter the most financially literate and give them the highest credit scores in the world. And we do that by reporting their on-time rent payments. And I will do that for the government at a discount. || I was always the one collecting the rents and putting it through my bank account. I wish I had rented one, two, three back then, right?","Speaker constructs themselves through empathetic understanding of financial exclusion, rooted in mother's constrained banking career. The Nathan episode is rhetorically central—showing sensitivity to credit-score stigma and willingness to take risk on low-score tenant. Intelligence appears through system design (verification processes, risk scoring) but is subordinate to the care narrative. Dedication shows in government persistence despite frustration. The speaker wants to be seen as someone who understands systemic barriers from lived experience and builds solutions that dignify excluded populations. Sensitivity organizes the self-presentation; other dimensions support it.",IFM-032,C,Epitropaki_Martin_2004,Robert Boyas,Male,7
