observing,experimenting,evaluating,repertory_source,identity_trajectory,sequence_observed,confidence_observing,confidence_experimenting,confidence_evaluating,confidence_trajectory,negative_evidence,falsifying_evidence,rival_explanation,evidence_quotes,memo,transcript_id,framework,framework_name,guest_name,gender,n_passages_seen
insufficient_evidence,implied,insufficient_evidence,prior_professional,no_arc,"no clear sequence; passages describe current professional stance and work context, not a developmental progression",0.1,0.3,0.1,0.2,"observing and evaluating show no evidence; no role models named or described, no evaluation of identity experiments against standards or feedback","The speaker presents a stable professional identity across contexts (Caribbean advertising, European corporate marketing, academic teaching). No language of becoming, transformation, or identity uncertainty. P3 'that's a bit of who I am' suggests arrival rather than transition. The experimentation discussed (P5) concerns marketing tactics and organizational caution, not identity trials.","This reads as professional self-presentation and pedagogical framing. The speaker establishes credentials (P1-P3), articulates a professional philosophy about corporate innovation (P4-P6), and sets a student challenge (P7-P8). It's a competence display, not identity work.","And as marketers, we have to be innovators. We have to be the ones trying on the goggles, seeing what the experience is like and thinking very clearly about that. || I am very much a champion for experimentation and for trying, but let's be real. || So that's a bit of who I am.","The speaker performs established professional authority rather than identity exploration. They position themselves as experienced across contexts (Caribbean to Sweden, advertising to corporate, practitioner to academic). The 'experimentation' language (P5) concerns organizational marketing strategy, not provisional selves. No developmental arc, no role models, no identity evaluation. This is résumé recitation and pedagogical positioning—how they want students and interviewers to see their expertise, not how they came to see themselves as a particular kind of professional.",IFM-013,B,Ibarra_1999,Christopher Grange,Male,8
insufficient_evidence,implied,internal_standards,prior_professional,arrived,no clear sequence; speaker presents current state rather than transition process,0.2,0.4,0.6,0.7,"observing - no role models mentioned; experimenting - transition described as discovery ('realized', 'discovered') rather than deliberate experimentation",The speaker describes a career pivot ('I realized that taxes and...really wasn't the career that I wanted') but frames it as recognition rather than identity work. The move to fractional CFO is presented as 'natural fit' - suggesting alignment rather than experimentation. No evidence of trying on different selves or testing provisional identities.,"This reads as professional positioning and service description for potential clients. The speaker establishes expertise, differentiates their offering ('fractional'), and demonstrates value proposition rather than narrating identity transformation.","I realized that taxes and, you know, the back office really wasn't the career that I wanted for myself || that's where I really discovered that I had this love for doing multiple things at once || So natural fit, I jumped into what's called a fractional CFO || I think that my secret sauce, let's put it at that || people who are in an innovation space are likely easier to convince to innovate their back office","Speaker presents an established professional identity rather than one under construction. Language emphasizes expertise ('secret sauce'), strategic positioning ('innovation is the industry I focus on'), and operational challenges of the current role. The career transition from CPA to fractional CFO is narrated as discovery and fit rather than experimentation. Rhetorical work appears aimed at demonstrating competence and differentiating services. The 'I realized/discovered' framing suggests retrospective sense-making rather than active identity experimentation. No evidence of observing role models or seeking external validation.",IFM-014,B,Ibarra_1999,Nick French,Male,8
insufficient_evidence,explicit_experimentation,both,prior_professional,arrived,"experiment->evaluate pattern visible, but observing phase absent from passages",0.2,0.8,0.75,0.7,observing: no role models named or described; no mention of studying others before acting,"P8 explicitly rejects learning 'from academic way' or others' journeys ('I'm not talking about for example, the Facebook journey, or Apple's journey'). This contradicts observation of role models. P11-P12 frame expertise as internal ('gut feeling', 'in your heart') rather than learned from external models.","This reads as retrospective success narrative and investor credibility-building. The speaker establishes expertise ('I can say I'm a serial entrepreneur', '75 cases'), describes strategic market positioning, and offers investment philosophy. Identity work is secondary to demonstrating competence.","I can say I'm a serial entrepreneur, because I made lots of, you know, ventures by my own when I was in my country in Iran. || it's most of the time I say when I talk about when I'm talking about something, I'm talking about my journey. I'm not I'm not talking about for example, the Facebook journey, or Apple's journey || It's actually, it's like, it's a gut feeling. It's a intuitive way of understanding and finding. || entrepreneurship is like, you know, loving someone. You have to have this in your heart.","Speaker constructs authority through serial entrepreneurship claim and investment track record (75 cases). Experimentation is explicit: testing investment strategy (high volume initially, then selective), learning founder evaluation through practice. Evaluation combines internal standards ('gut feeling', 'intuitive') with external feedback (portfolio performance, deal flow increase). However, this is retrospective expertise narrative, not identity transition. Speaker presents as already-arrived expert explaining their methodology. The 'journey' framing serves to authenticate current position rather than document becoming. No vulnerability, uncertainty, or provisional trying-on of identity visible.",IFM-015,B,Ibarra_1999,Graham Szasz,Male,12
insufficient_evidence,implied,external_feedback,prior_professional,no_arc,"No clear sequence of identity tasks. Passages describe product development and business strategy, not identity experimentation.",0.1,0.3,0.4,0.2,"observing: No role models mentioned. experimenting: No explicit trials of different professional selves. The 'experimenting' with AB testing refers to product features, not identity.","Speaker describes technical background and product evolution without any language of becoming, transformation, or self-conception change. P1 lists credentials chronologically but frames them as continuous interest ('my passion has been'), not identity shift. P7's 'we try to come up with hypothesis, tested with clients' describes product validation, not identity evaluation.","This is a product narrative and company positioning statement. Speaker establishes technical credibility, describes market focus, and explains product roadmap. The rhetoric serves to demonstrate expertise and strategic thinking to interviewer, not to work through identity questions.","my passion has been around how we can utilize data science, machine learning, AI for solving real-world problems || We want to be the best on generating the content || we try to come up with hypothesis, tested with clients","Speaker presents as technical expert with consistent trajectory from engineering through data science to current company. No identity struggle or transition visible. Language is about product capabilities ('what we automated', 'our focus', 'our specialty') and market positioning, not self-conception. The 'learning ups and downs' in P1 could reference identity work but remains unexplored. Testing with clients (P7) evaluates product-market fit, not provisional selves. This reads as founder explaining their company's value proposition and technical approach.",IFM-016,B,Ibarra_1999,Hamid and Rezaq,Male,7
insufficient_evidence,insufficient_evidence,insufficient_evidence,unclear,insufficient_evidence,"no sequence present - passages describe product utility and company growth, not identity development tasks",0.1,0.1,0.1,0.2,"All three tasks (observing, experimenting, evaluating) show no evidence. Speaker describes product features, company adoption trajectory, and personal utility. No role models mentioned. No experimentation with professional selves described. No evaluation of identity trials against standards or feedback.","P5 describes watching the company 'take off' as an observer of organizational success, not as someone experimenting with or evaluating a leadership identity. P6-P7 frame the speaker as a user and advocate, not as someone working through identity transitions.","This is product evangelism and company narrative. Speaker positions themselves as head of partnerships explaining product value and adoption success. The 'journey' in P5 refers to market penetration, not identity development.",I'm head of North American partnerships at What3Words || I've loved in the years I've been with this company watching What3Words take off in North America from a niche idea that a few people thought was cool to being used by enormous sports stadiums || My hope is just to keep spreading the word and get more people aware of how this addressing system could help them,"Speaker presents as an established professional in a defined role (head of partnerships) delivering a product pitch. Rhetoric emphasizes product utility, market validation, and missionary zeal ('spreading the word'). The 'journey' language describes company growth trajectory, not personal identity work. No evidence of provisional selves, role model observation, or identity experimentation. This reads as strategic organizational communication rather than identity narrative.",IFM-017,B,Ibarra_1999,Marcus,Male,7
insufficient_evidence,implied,external_feedback,prior_professional,arrived,no clear sequence; passages show operational present and advice-giving stance,0.1,0.3,0.6,0.7,observing shows no evidence; no role models named or described. Experimenting is only weakly implied through career history mention.,"P6 positions speaker as already-entrepreneur giving advice ('being an entrepreneur isn't for everyone'), suggesting arrived identity rather than provisional experimentation. P5 advice-giving stance ('I give to my teams') indicates established authority position, not identity exploration.","These passages read as company operational narrative (product development process) and founder wisdom-sharing (advice to aspiring entrepreneurs). The speaker presents as established authority dispensing lessons, not someone working through identity transition.","I mean, I've had a kind of storied career thus far. || to be very honest about it, being an entrepreneur isn't for everyone. That's really important to be recognized from the beginning. || We also survey our customers quite often to see which types of products that they would like to see next","Speaker adopts retrospective authority stance throughout. P1 frames career as 'storied,' suggesting narrative completion. P5-P6 position speaker as advice-giver with established teams and wisdom to dispense. The 'we' language (P2-P4) describes operational systems, not identity work. Evaluating appears only as business feedback loops (customer surveys, merchant testing), not personal identity evaluation. Rhetorically, this is success-story framing: I've arrived, here's what I learned, here's my advice. No evidence of provisional self-experimentation or role model observation.",IFM-018,B,Ibarra_1999,Adam Chantz,Male,6
insufficient_evidence,insufficient_evidence,internal_standards,unclear,arrived,no clear sequence; speaker offers advice from established position rather than describing their own adaptation process,0.1,0.2,0.6,0.7,observing: no role models mentioned; experimenting: no trials or provisional selves described; speaker describes decision-making ('go no-go') but not identity experimentation,The speaker positions themselves as advice-giver ('I challenge you') rather than someone navigating identity transition. They speak from authority about what entrepreneurship 'will test you on' rather than describing how they were tested or changed.,"This is prescriptive advice-giving, not identity narrative. The speaker performs expertise by issuing challenges to an audience. This could be mentorship rhetoric or thought leadership rather than identity work.","I always and whatever business I'm operating in I have big visions for some of the stuff I do, but I'm always double checking, you know, my thought process and I do I do a go no-go kind of hold on || I challenged last time to take action. So I'll say that again, take action. || That's the other challenge I'd have is, if you're ready for entrepreneurship, work on yourself. || entrepreneurship will test you on a lot of levels, and your vices will come out and your best qualities may come out but your worst will","Speaker performs established entrepreneurial identity through advice-giving rather than narrating identity development. Uses imperative mood ('take action,' 'do research,' 'work on yourself') and speaks about entrepreneurship as external force that tests others. The 'go no-go' reference suggests decision-making practice but not identity experimentation. No role models, no trials of provisional selves, no feedback loops described. Evaluating appears only as internal standards ('double checking my thought process'). This reads as wisdom-sharing from arrived position, not becoming narrative.",IFM-019,B,Ibarra_1999,Jake McEvan,Male,3
insufficient_evidence,insufficient_evidence,insufficient_evidence,prior_professional,no_arc,"no sequence evident; passages describe teaching, program management, and consulting work without identity transition markers",0.2,0.2,0.2,0.3,"All three tasks (observing, experimenting, evaluating) show no evidence. Speaker describes professional activities—teaching, running programs, working with development corporations—but never describes watching role models, trying out new identity versions, or receiving feedback that changed self-conception.","P7 describes 'a success story' about OTHER individuals' progression ('individuals who started out as counter staff, but who are now in supervisory...management'), not the speaker's own identity development. P4 and P6 describe the speaker's pedagogical approach ('bringing people along and providing the mentorship') as an established practice, not an experiment with a new self.","These passages read as professional expertise narrative—a consultant or educator describing their methods and philosophy for Indigenous workforce development. The speaker positions themselves as already expert, not becoming one.","I had a student one time many years ago I was teaching at the Nicola Valley Institute of Technology || I've run a couple of programs or a number of programs, actually, that made an effort to develop capacity || the programs I was able to run in the short term produce some pretty good results || in this other experience that I have with the Development Corporation more recently","Speaker presents as established professional educator/consultant in Indigenous economic development. Rhetoric emphasizes their accumulated experience ('many years ago,' 'a number of programs,' 'another experience') and pedagogical philosophy (mentorship, hands-on training, strategic planning). No identity transition is narrated. The 'success story' in P7 refers to trainees, not self. This is expertise demonstration, not identity work. Speaker wants to be seen as knowledgeable practitioner with proven methods.",IFM-020,B,Ibarra_1999,Jack Smith,Male,8
insufficient_evidence,explicit_experimentation,external_feedback,unclear,becoming,experiment->evaluate pattern visible; observing phase not evident in passages,0.1,0.9,0.7,0.6,observing: no role models named or described; no mention of watching others to identify possible selves,"P1 presents as 'very basic guy' focused on 'execution and operations' rather than identity transformation. P9 positions speaker as advice-giver to others, suggesting arrived rather than becoming status, contradicting the becoming trajectory coded from earlier passages.","This could be a founder origin story emphasizing hustle, risk-taking, and multiple ventures rather than identity work. The narrative arc follows entrepreneurial mythology: testing, iterating, scaling.","I decided to not take an internship or co-op, which could easily be done to get some experience and some work experience. I instead decided to just knock some doors of businesses and try and help them with their social media and digital marketing || And one thing that anyone that wants to go into entrepreneurship should do is just do something for free. And I did a lot of that work for free for someone I knew that was in real estate to test it out and see just how good I am at doing digital marketing || entrepreneurs are really risky people and like to do a lot of things to try new things, see how things work. And definitely part of my story. I love the idea that the more things you try, the more chances you are closer to making something work || my mind was already wondering about the next sort of thing that I can do. And I think anyone that has an entrepreneur spirit or anything like that can relate that you're always thinking about something","Speaker constructs entrepreneurial identity through repeated experimentation narrative (digital marketing, Trova, Trento) but frames this as natural disposition ('entrepreneur spirit') rather than learned identity. Rhetorical work positions speaker as both still-experimenting ('becoming') and authoritative advisor (P9). The 'very basic guy' framing in P1 contradicts the complex portfolio narrative that follows. External validation comes through metrics ($3,000/month, 11 clients) rather than relational feedback. No mentors or role models appear. This reads more as venture chronology than identity transition—events happened, but how did the self change?",IFM-021,B,Ibarra_1999,Taylor ,Male,9
insufficient_evidence,explicit_experimentation,external_feedback,unclear,no_arc,"experiment->evaluate pattern visible in P5 (product launch->market rejection), but no observation phase evident; chronological ordering appears interview-driven",0.1,0.7,0.8,0.3,"observing: no role models mentioned, no one the speaker looked to or emulated; identity_trajectory: speaker describes business pivots (PhD->construction->real estate->tech) but never describes how they came to see themselves differently or how others came to see them","P1 frames the narrative as 'journey' and 'connecting dots' retrospectively, suggesting sense-making after the fact rather than identity experimentation during. P7 shows strategic business repositioning (redefining competitors) not identity work. P6 describes operational scaling challenges, purely managerial.","This reads as a founder success story emphasizing pivots and lessons learned. The speaker positions themselves as experienced advisor (P8-P9) but describes business events, not identity transformation. Could be strategic self-presentation as seasoned entrepreneur.","We took it to market and no one cared. So. I felt like, this is a great product. We were like, no, I don't think so. || My advice is to always partner with someone that has already done this.","Speaker narrates serial entrepreneurship (academia->construction->real estate->tech) as connected journey but provides no evidence of identity work. P4's 'you're more than a realtor' is the only identity-relevant moment, but it's attributed to the co-founder, not claimed by speaker. P5 shows experimentation (product launch) and evaluation (market rejection) but as business learning, not self-concept revision. P8-P9 position speaker as advisor but through business wisdom, not identity claims. This is retrospective sense-making and strategic positioning, not provisional selves exploration.",IFM-022,B,Ibarra_1999,Mehboud,Male,9
insufficient_evidence,insufficient_evidence,insufficient_evidence,prior_professional,no_arc,no sequence evident; passages are technical/strategic commentary without identity transition markers,0.1,0.2,0.2,0.3,"All three tasks (observing, experimenting, evaluating) show no clear evidence. P1 mentions experts but not as role models for identity. P4 references historical experience but as market analysis, not identity modeling. No passages describe trying on a new professional self or evaluating identity experiments.","P7 and P9 suggest an established technical identity ('I fit that bill' as technical founder; 'too product focused') rather than provisional experimentation. P6's moral stance ('I want to wake up feeling good') reads as settled values, not identity exploration. The speaker positions themselves as experienced veteran (P4, P6) rather than someone adapting to newness.","These passages read as strategic business commentary and market positioning rather than identity work. The speaker is explaining technical choices (P7-P8), market timing (P2-P4), and ethical boundaries (P6), not describing how they came to see themselves differently or experimenting with who to become.","I'm old enough that I remember the beginnings of mobile computing || The technical founder can write code or participate at the most intimate level to ensure progress on a technical level I fit that bill || I am very, I sometimes a little bit too product focused","Speaker presents as established technical veteran with settled identity and values. Rhetoric emphasizes experience ('old enough,' 'I remember'), technical credibility ('I fit that bill'), and moral boundaries ('wake up feeling good'). Self-criticism in P9 ('too product focused') acknowledges limitation within existing identity rather than exploring new one. No evidence of identity transition—passages describe what speaker already is, not what they're becoming. Could be interview responses about business strategy rather than reflective identity narrative.",IFM-023,B,Ibarra_1999,Dan ,Male,9
named_role_model,explicit_experimentation,external_feedback,peers_founders,no_arc,"no clear sequence; passages describe operational practices, not identity development stages",0.4,0.3,0.6,0.8,observing shows minimal evidence - role models mentioned but not as identity sources; experimenting is about product iteration not self-experimentation; no internal standards evaluation visible,"Speaker systematically deflects credit and agency: 'definitely not something I can take all the credit for' [P2], credits co-founders by name [P3, P6, P12], describes 'we' actions throughout. This contradicts a personal identity transition narrative.","This is customer relationship management and product development narrative. Speaker describes operational practices (onboarding, feedback loops, high-touch support) not identity work. The 'we' framing positions this as company story.","I do have to give a lot of that credit to one of my other co-founders, Nicole McLean, who is a natural relationship builder || my co-founder and our CEO, Michael Kaley, has been extremely adamant that we don't build this in a vacuum || I feel like we were pioneering a lot of this technology || It's definitely not something I can take all the credit for","Speaker presents as operational executor within a team structure, not as someone claiming leadership identity. Repeatedly attributes capabilities to named co-founders (Michael for vision/trust-building, Nicole for relationships). Uses 'we' 23+ times. The single 'I' identity claim is 'pioneering' [P10] but immediately framed as collective 'we'. This reads as company origin story and customer success methodology, not personal identity construction. The deflection pattern is consistent and notable.",IFM-024,B,Ibarra_1999,Imran Muna ,Male,12
named_role_model,explicit_experimentation,both,institutional,becoming,"observe->experiment->evaluate pattern present, but chronology appears interview-driven rather than speaker-organized identity narrative",0.85,0.7,0.65,0.6,No clear internal standards articulated for evaluating experiments. External feedback mentioned ('great feedback') but not elaborated as identity-shaping.,"P4 'I'm living the dream right now' suggests arrived identity, contradicting becoming. P1-P3 describe career preparation and business interest, not identity experimentation. The 'entrepreneurship journey' framing could be retrospective sense-making rather than lived provisional selves.","This reads as immigrant success story and business origin narrative. The problem-solution-growth arc (P9-P12) is classic startup pitch structure, not identity work. Could be strategic self-presentation for institutional audience.","I walked up to them and I told him that I want to learn about the new environment. || I had to knock on the door a lot of times because I would send him emails. I would send him LinkedIn. He wouldn't respond. || My approach was to use the business model canvas to outline the idea that I had. || I had time to think, and at that point, in 2020, I said, this might be the right time for me to solve this problem || I'm living the dream right now.","Speaker constructs narrative of deliberate preparation leading to entrepreneurial success. Rhetorical work emphasizes persistence, learning orientation, and methodical approach. The mentor relationship (P6-P7) is the clearest observing evidence, but it's framed as networking/learning rather than identity modeling. Business launch described as problem-solving and opportunity recognition, not as trying on a new self. Wants to be seen as: prepared, resilient, methodical, successful. Identity work is minimal; this is primarily a competence narrative.",IFM-025,B,Ibarra_1999,AKA,Male,12
insufficient_evidence,insufficient_evidence,insufficient_evidence,unclear,insufficient_evidence,"no sequence evident - passages describe business history, market observations, and organizational facts",0.1,0.1,0.1,0.15,"All three tasks (observing, experimenting, evaluating) show no evidence. The speaker describes business evolution ('we started...we started facing challenges...we started on the adventure'), organizational capabilities ('speaks about 30 different languages'), and market observations ('rental apartment is like 300 square feet'), but never describes observing role models, trying on identities, or evaluating themselves against standards.","P8 explicitly positions speaker as seeking input ('I would love to hear what people think or suggest') rather than claiming expertise or established identity. The question 'How could Vancouver create...solutions' frames speaker as problem-poser, not solution-owner or established leader.","This is institutional history and market analysis. Speaker narrates organizational evolution (education to housing), demonstrates global business knowledge (Saudi partners, Asian markets), and showcases organizational diversity. It reads as company capability presentation, not identity work.","We started about 30 years ago as an education institution. || So we started on the adventure of student housing. || I'm going to Asia in four days. And we so far in the last few years, we brought in close to a hundred million dollars from overseas || I would love to hear what people think or suggest. How could Vancouver create like how could we one or three or five solutions can reduce that housing crisis?","Speaker presents organizational narrative and market expertise without claiming personal identity transformation. Uses 'we' throughout, describing institutional evolution rather than self-evolution. The biographical elements (arriving in Canada 55 years ago, being 'the only Asian-looking person') establish credibility and market insight, not identity transition. P8's question-posing contradicts expert/leader positioning. This is strategic organizational storytelling—demonstrating global reach, cultural competence, and business acumen—rather than provisional self experimentation.",IFM-026,B,Ibarra_1999,Toby Chu ,Male,8
generic_role_model,implied,internal_standards,family,arrived,no clear sequence; speaker presents as already embodied in role,0.4,0.3,0.6,0.5,"observing and experimenting show minimal evidence; no named role models, no explicit trials of provisional selves","Speaker presents as already integrated into leadership role ('I'm always out and about,' 'working with my board,' 'the people I have that work with me'). No language of becoming, learning, or transitioning. The identity appears settled rather than provisional.","This reads as organizational messaging and values articulation rather than identity work. Speaker performs leadership through crisis management rhetoric and stakeholder reassurance, not identity exploration.","Our ancestors were quite brilliant in that hasty means to act and speak correctly. || this is really in practice what our ancestors have been doing for thousands of years and we're just reviving, reemerging again || We'll never compromise those values, principles, the laws, the integrity that guide our integrity","Speaker performs established leadership through ancestral connection and organizational stewardship. The rhetoric centers on continuity ('reviving,' 'reemerging') rather than transition. References to ancestors function as internal standards for evaluation, but there's no arc of becoming—the speaker already inhabits the role. This appears to be crisis communication and values articulation rather than identity experimentation. The 'entrepreneurial' self-description (P6) is the only moment suggesting identity work, but it's presented as existing trait, not provisional self.",IFM-027,B,Ibarra_1999,Garry Wilson,Male,10
named_role_model,implied,internal_standards,prior_professional,arrived,"observe->experiment->evaluate, but chronology appears interview-driven rather than speaker-driven narrative arc",0.6,0.4,0.5,0.3,experimenting shows no explicit experimentation with provisional selves; evaluating shows no external feedback mentioned,"P3-P10 describe brand management philosophy and marketing critique, not identity transition. The 18-year tenure (P2) suggests stable role rather than provisional self. Speaker describes 'we' and company practices, not personal identity evolution.","This reads as professional biography and brand philosophy exposition rather than identity work. Speaker recounts career path and articulates marketing worldview, likely responding to interviewer prompts about background and approach.","I moved around a lot as a kid and went to a different school every year until grade eight, which pushed me into marketing at a young age. || I'd been meeting with John on occasion, having the odd lunch every now and then, and then something opened up, and I've been there for 18 years. || I mean, I've been there for so long, you know, we go through these kinds of lenses of how to see the brand and how to interpret it and how to present it.","Speaker constructs a retrospective narrative linking childhood mobility to marketing adaptability, but this is origin story rather than identity transition. The John Fluvog relationship (P2) hints at observing a role model, but 18-year tenure suggests established identity, not provisional self. Most passages articulate brand philosophy and marketing critique ('we just have a history of ruining things') - professional expertise display, not identity experimentation. The 'we' framing throughout positions speaker as embedded insider explaining company culture to outsider, not someone navigating identity uncertainty.",IFM-028,B,Ibarra_1999,Steven Fluevog,Male,10
insufficient_evidence,explicit_experimentation,external_feedback,unclear,no_arc,"experiment->evaluate pattern visible in market assessment iterations, but no identity transition described",0.1,0.8,0.9,0.2,"observing: no role models mentioned; identity_trajectory: speaker describes career progression (biochem->PhD->postdoc->scientist->director) and business pivots, but never describes how they came to see themselves differently or adopted a new professional identity","P1-P2 describe linear career advancement without identity work. P3-P9 describe strategic business decisions (market assessment, product iteration, sales model changes) but frame these as company activities ('we did', 'we made sure', 'our approach') rather than personal transformation. The speaker positions themselves as executing technical and strategic work, not becoming a different kind of professional.",These passages read as a company origin story and strategic pivot narrative. The speaker describes methodical market validation and business model adaptation—standard startup practices—not identity experimentation. This is 'how we built the product' not 'how I became a leader/entrepreneur.',"we did our second round was much more focused and we made sure we talked to Moderna, to GSK, Johnson Johnson || what we made sure was that while we were building this product, we had a good idea of what it was going to look like. But we made sure that the biggest players in the field told us exactly how they wanted to use it || doing the market assessment and traveling around actually changed our entire sales strategy || our sales strategy has really shifted from a selling this as a shotgunning it out there as a consumable to doing what much more focused B2B deals","Speaker presents as a technical professional executing strategic work. Heavy use of 'we' throughout. The 'experimentation' here is product/market experimentation, not provisional self experimentation. Career progression (P1-P2) is narrated as factual sequence without reflection on identity change. The speaker wants to be seen as methodical, customer-focused, strategic—but these are professional competencies being demonstrated, not identities being tried on. No evidence of internal standards, self-doubt, or identity consolidation.",IFM-029,B,Ibarra_1999,Kevin Voss,Male,10
insufficient_evidence,implied,both,prior_professional,arrived,no clear observe->experiment->evaluate sequence; speaker presents as established expert reflecting on evolution,0.2,0.4,0.7,0.8,observing shows NO evidence of role models being identified or studied; no named or generic models mentioned,"P15 'I think back to when I first started, I actually needed money' describes early motivation as financial necessity, not identity exploration. P17 'shrinking my way to greatness' describes business strategy shift, not identity transition. Multiple passages present polished consultant expertise rather than provisional self-testing.","This reads as expert self-presentation and business advice rather than identity work. The speaker positions themselves as seasoned consultant teaching methods, not exploring who they might become.","I'm still continuing to reinvent myself, right? Cause we can always get better if we continue to be open. || I've grown and I've learned. But what I did, I've always tried to deliver value. But at the same time, I was always looking to grow and to improve along the way. || I'm shrinking my way to greatness. I've decided that about 10 years ago. || I used to put too much information in my proposals, right? And I realized when I first started, they take them and I wouldn't be surprised if they shared them with a competitor","Speaker presents as arrived expert consultant reflecting on 30-year evolution. Rhetorical work emphasizes current mastery ('life changing, organizationally transforming') while acknowledging past learning. The 'reinventing' claim (P8) appears formulaic rather than evidence of active identity experimentation. Passages describe method refinement (proposals, discovery sessions, virtual work) as business optimization, not identity trials. Speaker wants to be seen as authentic, selective, masterful consultant who has transcended early financial motivation to focus on client transformation and lifestyle design.",IFM-030,B,Ibarra_1999,Rolph,Male,21
named_role_model,explicit_experimentation,both,family,no_arc,"no clear sequence; speaker describes business activities and family dynamics, not identity transition stages",0.4,0.3,0.3,0.7,"All three tasks show weak or absent evidence. P1-P2 describe family expectations and business purchases, not observing role models for identity formation. P3-P7 describe business operations (buy-improve-sell pattern, KPI establishment) without reflection on self-concept. P8-P9 describe prototype development logistics. No passages show the speaker reflecting on 'who I am becoming' versus 'what I accomplished.'","P4 explicitly frames the narrative as parent-child conflict over job stability versus entrepreneurship, not identity work. P5 frames success as divine intervention following prayer change. P9 presents the co-founder question as humorous, deflecting from any serious reflection on partnership or role development. The speaker never describes uncertainty about self-concept, experimentation with possible selves, or evaluation of fit.","This is a success narrative emphasizing family privilege ('youngest spoiled one'), strategic business acumen (buy-improve-sell pattern), and divine favor (prayer shift in 2023). The speaker positions themselves as clever and resourceful, not as someone navigating identity uncertainty.","I'm the youngest one. So father said, enough with engineering, you have to be a doctor. || I bought that pharmacy. I have a pharmacy partner. Then I brought general manager to run the entire retail show. I established the KPI. || my brothers was there so we want to understand the industry first approach is should be the ground up approach instead of top down approach || how many months I know the co-founder from my birth? Number one. And number two, how much do you pay? I literally say zero dollars. || this end-to-end idea Dave and Gail came from by running Canada Post","Speaker constructs a narrative of entrepreneurial competence grounded in family position and business pattern-recognition. The 'youngest spoiled one' frame recurs as explanation for opportunity and brother support. Canada Post appears as a business model source (P11), potentially a weak 'observing' signal, but it's presented as operational insight, not identity template. Brothers are collaborators and skill-providers, not role models for self-concept. No language of becoming, trying on roles, or evaluating fit. This reads as retrospective success story with family-privilege subtext, not provisional self exploration.",IFM-031,B,Ibarra_1999,Tanvir Asan,Male,11
named_role_model,insufficient_evidence,insufficient_evidence,family,insufficient_evidence,"observing present (mother as role model), but no clear experimentation or evaluation sequence visible in passages",0.85,0.2,0.2,0.15,"experimenting and evaluating show no clear evidence; passages describe business operations and product features, not identity trials or self-evaluation","Speaker presents as already established ('I have connections provincially and federally', 'My family and I own a bunch of homes'). No language of becoming, trying on roles, or uncertainty about professional self. The mother reference is biographical context, not active role modeling for current identity work.","These passages read as product pitch and mission statement. The speaker is explaining business value proposition, demonstrating expertise, and telling customer success stories (Nathan). The mother story frames personal motivation but functions as origin narrative, not identity experimentation.","my mother was a banker || I was fortunate, based on my mom's example, I've been a homeowner since I was quite young || I have connections provincially and federally || My family and I own a bunch of homes in Parksville","Speaker positions themselves as established expert and advocate, not someone experimenting with identity. Mother reference establishes credibility through family history of financial competence despite gender barriers. Dominant rhetoric is educational/missionary ('make the Canadian renter the most financially literate') and operational (describing verification systems, credit scoring). Nathan story demonstrates product impact, not speaker's identity work. No vulnerability, trial-and-error, or self-questioning visible. This is confident expertise display, not provisional self exploration.",IFM-032,B,Ibarra_1999,Robert Boyas,Male,7
